Mes;Precio interno;;;;;;;;;;;;;;;
ene-56;305;;;;;;;;;;;;;;;
feb-56;305;;;;;;;;;;;;;;;
mar-56;305;;;;;;;;;;;;;;;
abr-56;305;;;;;;;;;;;;;;;
may-56;305;;;;;;;;;;;;;;;
jun-56;305;;;;;;;;;;;;;;;
jul-56;305;;;;;;;;;;;;;;;
ago-56;305;;;;;;;;;;;;;;;
sep-56;305;;;;;;;;;;;;;;;
oct-56;305;;;;;;;;;;;;;;;
nov-56;337;;;;;;;;;;;;;;;
dic-56;415;;;;;;;;;;;;;;;
ene-57;425;;;;;;;;;;;;;;;
feb-57;428;;;;;;;;;;;;;;;
mar-57;435;;;;;;;;;;;;;;;
abr-57;435;;;;;;;;;;;;;;;
may-57;435;;;;;;;;;;;;;;;
jun-57;485;;;;;;;;;;;;;;;
jul-57;550;;;;;;;;;;;;;;;
ago-57;557;;;;;;;;;;;;;;;
sep-57;563;;;;;;;;;;;;;;;
oct-57;500;;;;;;;;;;;;;;;
nov-57;500;;;;;;;;;;;;;;;
dic-57;500;;;;;;;;;;;;;;;
ene-58;511;;;;;;;;;;;;;;;
feb-58;520;;;;;;;;;;;;;;;
mar-58;520;;;;;;;;;;;;;;;
abr-58;500;;;;;;;;;;;;;;;
may-58;490;;;;;;;;;;;;;;;
jun-58;490;;;;;;;;;;;;;;;
jul-58;472;;;;;;;;;;;;;;;
ago-58;440;;;;;;;;;;;;;;;
sep-58;440;;;;;;;;;;;;;;;
oct-58;426;;;;;;;;;;;;;;;
nov-58;421;;;;;;;;;;;;;;;
dic-58;380;;;;;;;;;;;;;;;
ene-59;380;;;;;;;;;;;;;;;
feb-59;380;;;;;;;;;;;;;;;
mar-59;380;;;;;;;;;;;;;;;
abr-59;380;;;;;;;;;;;;;;;
may-59;380;;;;;;;;;;;;;;;
jun-59;380;;;;;;;;;;;;;;;
jul-59;380;;;;;;;;;;;;;;;
ago-59;380;;;;;;;;;;;;;;;
sep-59;396;;;;;;;;;;;;;;;
oct-59;405;;;;;;;;;;;;;;;
nov-59;405;;;;;;;;;;;;;;;
dic-59;405;;;;;;;;;;;;;;;
ene-60;405;;;;;;;;;;;;;;;
feb-60;405;;;;;;;;;;;;;;;
mar-60;405;;;;;;;;;;;;;;;
abr-60;405;;;;;;;;;;;;;;;
may-60;424;;;;;;;;;;;;;;;
jun-60;438;;;;;;;;;;;;;;;
jul-60;438;;;;;;;;;;;;;;;
ago-60;438;;;;;;;;;;;;;;;
sep-60;438;;;;;;;;;;;;;;;
oct-60;438;;;;;;;;;;;;;;;
nov-60;457;;;;;;;;;;;;;;;
dic-60;465;;;;;;;;;;;;;;;
ene-61;465;;;;;;;;;;;;;;;
feb-61;465;;;;;;;;;;;;;;;
mar-61;465;;;;;;;;;;;;;;;
abr-61;465;;;;;;;;;;;;;;;
may-61;465;;;;;;;;;;;;;;;
jun-61;465;;;;;;;;;;;;;;;
jul-61;465;;;;;;;;;;;;;;;
ago-61;465;;;;;;;;;;;;;;;
sep-61;465;;;;;;;;;;;;;;;
oct-61;470;;;;;;;;;;;;;;;
nov-61;500;;;;;;;;;;;;;;;
dic-61;500;;;;;;;;;;;;;;;
ene-62;500;;;;;;;;;;;;;;;
feb-62;500;;;;;;;;;;;;;;;
mar-62;500;;;;;;;;;;;;;;;
abr-62;471;;;;;;;;;;;;;;;
may-62;465;;;;;;;;;;;;;;;
jun-62;465;;;;;;;;;;;;;;;
jul-62;465;;;;;;;;;;;;;;;
ago-62;465;;;;;;;;;;;;;;;
sep-62;465;;;;;;;;;;;;;;;
oct-62;465;;;;;;;;;;;;;;;
nov-62;473;;;;;;;;;;;;;;;
dic-62;500;;;;;;;;;;;;;;;
ene-63;500;;;;;;;;;;;;;;;
feb-63;516;;;;;;;;;;;;;;;
mar-63;565;;;;;;;;;;;;;;;
abr-63;565;;;;;;;;;;;;;;;
may-63;565;;;;;;;;;;;;;;;
jun-63;565;;;;;;;;;;;;;;;
jul-63;565;;;;;;;;;;;;;;;
ago-63;565;;;;;;;;;;;;;;;
sep-63;565;;;;;;;;;;;;;;;
oct-63;565;;;;;;;;;;;;;;;
nov-63;565;;;;;;;;;;;;;;;
dic-63;565;;;;;;;;;;;;;;;
ene-64;629;;;;;;;;;;;;;;;
feb-64;655;;;;;;;;;;;;;;;
mar-64;720;;;;;;;;;;;;;;;
abr-64;735;;;;;;;;;;;;;;;
may-64;735;;;;;;;;;;;;;;;
jun-64;735;;;;;;;;;;;;;;;
jul-64;735;;;;;;;;;;;;;;;
ago-64;735;;;;;;;;;;;;;;;
sep-64;735;;;;;;;;;;;;;;;
oct-64;735;;;;;;;;;;;;;;;
nov-64;735;;;;;;;;;;;;;;;
dic-64;735;;;;;;;;;;;;;;;
ene-65;735;;;;;;;;;;;;;;;
feb-65;735;;;;;;;;;;;;;;;
mar-65;720;;;;;;;;;;;;;;;
abr-65;713;;;;;;;;;;;;;;;
may-65;713;;;;;;;;;;;;;;;
jun-65;713;;;;;;;;;;;;;;;
jul-65;713;;;;;;;;;;;;;;;
ago-65;713;;;;;;;;;;;;;;;
sep-65;713;;;;;;;;;;;;;;;
oct-65;713;;;;;;;;;;;;;;;
nov-65;713;;;;;;;;;;;;;;;
dic-65;713;;;;;;;;;;;;;;;
ene-66;721;;;;;;;;;;;;;;;
feb-66;763;;;;;;;;;;;;;;;
mar-66;763;;;;;;;;;;;;;;;
abr-66;763;;;;;;;;;;;;;;;
may-66;763;;;;;;;;;;;;;;;
jun-66;763;;;;;;;;;;;;;;;
jul-66;763;;;;;;;;;;;;;;;
ago-66;763;;;;;;;;;;;;;;;
sep-66;763;;;;;;;;;;;;;;;
oct-66;763;;;;;;;;;;;;;;;
nov-66;763;;;;;;;;;;;;;;;
dic-66;738;;;;;;;;;;;;;;;
ene-67;731;;;;;;;;;;;;;;;
feb-67;715;;;;;;;;;;;;;;;
mar-67;715;;;;;;;;;;;;;;;
abr-67;715;;;;;;;;;;;;;;;
may-67;738;;;;;;;;;;;;;;;
jun-67;757;;;;;;;;;;;;;;;
jul-67;768;;;;;;;;;;;;;;;
ago-67;768;;;;;;;;;;;;;;;
sep-67;770;;;;;;;;;;;;;;;
oct-67;791;;;;;;;;;;;;;;;
nov-67;816;;;;;;;;;;;;;;;
dic-67;828;;;;;;;;;;;;;;;
ene-68;828;;;;;;;;;;;;;;;
feb-68;833;;;;;;;;;;;;;;;
mar-68;864;;;;;;;;;;;;;;;
abr-68;873;;;;;;;;;;;;;;;
may-68;889;;;;;;;;;;;;;;;
jun-68;890;;;;;;;;;;;;;;;
jul-68;896;;;;;;;;;;;;;;;
ago-68;905;;;;;;;;;;;;;;;
sep-68;912;;;;;;;;;;;;;;;
oct-68;924;;;;;;;;;;;;;;;
nov-68;929;;;;;;;;;;;;;;;
dic-68;929;;;;;;;;;;;;;;;
ene-69;929;;;;;;;;;;;;;;;
feb-69;929;;;;;;;;;;;;;;;
mar-69;929;;;;;;;;;;;;;;;
abr-69;908;;;;;;;;;;;;;;;
may-69;880;;;;;;;;;;;;;;;
jun-69;880;;;;;;;;;;;;;;;
jul-69;880;;;;;;;;;;;;;;;
ago-69;884;;;;;;;;;;;;;;;
sep-69;980;;;;;;;;;;;;;;;
oct-69;1.128;;;;;;;;;;;;;;;
nov-69;1.230;;;;;;;;;;;;;;;
dic-69;1.230;;;;;;;;;;;;;;;
ene-70;1.234;;;;;;;;;;;;;;;
feb-70;1.260;;;;;;;;;;;;;;;
mar-70;1.274;;;;;;;;;;;;;;;
abr-70;1.320;;;;;;;;;;;;;;;
may-70;1.320;;;;;;;;;;;;;;;
jun-70;1.320;;;;;;;;;;;;;;;
jul-70;1.320;;;;;;;;;;;;;;;
ago-70;1.320;;;;;;;;;;;;;;;
sep-70;1.320;;;;;;;;;;;;;;;
oct-70;1.320;;;;;;;;;;;;;;;
nov-70;1.320;;;;;;;;;;;;;;;
dic-70;1.320;;;;;;;;;;;;;;;
ene-71;1.320;;;;;;;;;;;;;;;
feb-71;1.266;;;;;;;;;;;;;;;
mar-71;1.225;;;;;;;;;;;;;;;
abr-71;1.225;;;;;;;;;;;;;;;
may-71;1.225;;;;;;;;;;;;;;;
jun-71;1.225;;;;;;;;;;;;;;;
jul-71;1.225;;;;;;;;;;;;;;;
ago-71;1.225;;;;;;;;;;;;;;;
sep-71;1.225;;;;;;;;;;;;;;;
oct-71;1.225;;;;;;;;;;;;;;;
nov-71;1.238;;;;;;;;;;;;;;;
dic-71;1.325;;;;;;;;;;;;;;;
ene-72;1.325;;;;;;;;;;;;;;;
feb-72;1.325;;;;;;;;;;;;;;;
mar-72;1.375;;;;;;;;;;;;;;;
abr-72;1.400;;;;;;;;;;;;;;;
may-72;1.408;;;;;;;;;;;;;;;
jun-72;1.459;;;;;;;;;;;;;;;
jul-72;1.546;;;;;;;;;;;;;;;
ago-72;1.610;;;;;;;;;;;;;;;
sep-72;1.610;;;;;;;;;;;;;;;
oct-72;1.626;;;;;;;;;;;;;;;
nov-72;1.655;;;;;;;;;;;;;;;
dic-72;1.655;;;;;;;;;;;;;;;
ene-73;1.705;;;;;;;;;;;;;;;
feb-73;1.775;;;;;;;;;;;;;;;
mar-73;1.900;;;;;;;;;;;;;;;
abr-73;1.985;;;;;;;;;;;;;;;
may-73;1.985;;;;;;;;;;;;;;;
jun-73;1.985;;;;;;;;;;;;;;;
jul-73;1.985;;;;;;;;;;;;;;;
ago-73;1.985;;;;;;;;;;;;;;;
sep-73;1.985;;;;;;;;;;;;;;;
oct-73;1.985;;;;;;;;;;;;;;;
nov-73;1.985;;;;;;;;;;;;;;;
dic-73;1.985;;;;;;;;;;;;;;;
ene-74;1.985;;;;;;;;;;;;;;;
feb-74;1.985;;;;;;;;;;;;;;;
mar-74;1.985;;;;;;;;;;;;;;;
abr-74;2.179;;;;;;;;;;;;;;;
may-74;2.263;;;;;;;;;;;;;;;
jun-74;2.263;;;;;;;;;;;;;;;
jul-74;2.263;;;;;;;;;;;;;;;
ago-74;2.263;;;;;;;;;;;;;;;
sep-74;2.263;;;;;;;;;;;;;;;
oct-74;2.263;;;;;;;;;;;;;;;
nov-74;2.281;;;;;;;;;;;;;;;
dic-74;2.489;;;;;;;;;;;;;;;
ene-75;2.500;;;;;;;;;;;;;;;
